,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
0,noise,82990,89900,7.686318131,4,65,Wrb-sw-colorfitpro4alpha-std-rgld_pnk,,,,,8,Yes,,35 - 50 g
1,fire-boltt,3799,16999,77.65162657,4.3,20788,BSW046,,,Silicon,Yes,3.5,Yes,1.8 inches,50 - 75 g
2,boat,1999,7990,74.98122653,3.8,21724,Wave Call,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
3,fire-boltt,1799,19999,91.00455023,4.3,13244,BSW053,,,Silicon,Yes,3.5,Yes,1.8 inches,75g +
4,noise,1599,4999,68.01360272,4.1,13901,Wrb-sw-colorfitpulsegobuzz-std-blk_blk,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
5,noise,1499,3999,62.51562891,4,32704,NSW-05,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
6,noise,1999,4999,60.0120024,4.1,1018,,,,,,,Yes,1.4 inches,35 - 50 g
7,noise,1799,3999,55.01375344,4,32704,wrb-sw-colorfitgrand-std-rpnk_rpnk,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
8,noise,1999,6499,69.24142176,4.1,39479,Wrb-sw-colorfitultrase-std-gld_brn,,,Other,Yes,8,Yes,1.8 inches,35 - 50 g
9,noise,1999,5999,66.67777963,4.1,39479,Wrb-sw-colorfitultra-std-gry_blk,,,Other,Yes,8,Yes,1.8 inches,35 - 50 g
10,noise,1999,5999,66.67777963,4.1,8765,Wrb-sw-colorfitpulse2max-std-blk_blk,,,Other,Yes,8,Yes,1.9 inches,35 - 50 g
11,noise,1799,3999,55.01375344,4,32704,wrb-sw-colorfitgrand-std-grn_grn,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
12,noise,3799,7999,52.50656332,3.8,545,Wrb-sw-colorfitpro4alpha-std-blk_blk,,,,,8,Yes,,35 - 50 g
13,noise,3499,5999,41.67361227,3.8,281,Wrb-sw-force-std-blk_blk,,,,,8,Yes,,35 - 50 g
14,noise,1999,5999,66.67777963,4.1,9081,wrb-sw-colorfitultrabuzz-std-ogrn_ogrn,,,Other,Yes,,Yes,1.8 inches,35 - 50 g
15,noise,1499,4999,70.0140028,4,93075,wrb-sw-colorfitpro2-std-blk,,,Polycarbonate,Yes,3.6,Yes,1.3 inches,20 - 35 g
16,noise,1799,4999,64.01280256,4.1,13901,Wrb-sw-colorfitpulsegobuzz-std-gry_gry,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
17,noise,1999,5999,66.67777963,4.1,8765,Wrb-sw-colorfitpulse2max-std-blu_blu,,,Other,Yes,8,Yes,1.9 inches,35 - 50 g
18,noise,1999,5999,66.67777963,4.1,9081,wrb-sw-colorfitultrabuzz-std-blk_blk,,,Other,Yes,,Yes,1.8 inches,35 - 50 g
19,noise,2499,5999,58.34305718,3.5,227,,,,,,,Yes,1.3 inches,35 - 50 g
20,noise,1799,3999,55.01375344,4,32704,wrb-sw-colorfitgrand-std-blu_blu,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
21,noise,2999,5999,50.00833472,4.1,5866,Wrb-sw-colorfitpro4-std-slvr_org,,,Other,Yes,,Yes,1.7 inches,35 - 50 g
22,boat,2699,7990,66.22027534,4.2,71481,,,,Silicon,Yes,8,Yes,1.7 inches,50 - 75 g
23,boat,2499,7990,68.72340426,4.2,71481,8.90E+12,,,Silicon,Yes,8,Yes,,50 - 75 g
24,boat,1999,7990,74.98122653,3.8,21724,Wave Call,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
